Estado;Código Município;Nome Município;Código Função;Nome Função;Código Subfunção;Nome Subfunção;Código Programa;Nome Programa;Código Ação;Nome Ação;Linguagem Cidadã;Valor
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;302;Assistência Hospitalar e Ambulatorial;1220;Assistência Ambulatorial e Hospitalar Especializada;8535;Estruturação de Unidades de Atenção Especializada em Saúde;Estruturação/DAE;9280000,00
RIO DE JANEIRO;0000;Governo do Estado;17;Saneamento;512;Saneamento Básico Urbano;0122;Serviços Urbanos de Água e Esgoto;006E;Apoio a Sistemas de Abastecimento de Água em Municípios de Regiões Metropolitanas, de Regiões Integradas de Desenvolvimento Econômico, Municípios com mais de 50 mil Habitantes ou Integrantes de Consórcios Públicos com mais de 150 mil Habitantes; ;1789259,69
RIO DE JANEIRO;0000;Governo do Estado;06;Segurança Pública;422;Direitos Individuais, Coletivos e Difusos;1453;Nacional de Segurança Pública com Cidadania - PRONASCI;8857;Apoio à Implementação de Políticas de Segurança Cidadã; ;600000,00
RIO DE JANEIRO;0000;Governo do Estado;08;Assistência Social;244;Assistência Comunitária;1335;Transferência de Renda com Condicionalidades - Bolsa Família;8446;Serviço de Apoio à Gestão Descentralizada do Programa Bolsa Família;Indice de Gestão Descentralizada - IGD;159517,51
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;302;Assistência Hospitalar e Ambulatorial;1220;Assistência Ambulatorial e Hospitalar Especializada;12L4;DESCRIÇÃO PENDENTE DE DEFINIÇÃO; ;200000,00
RIO DE JANEIRO;0000;Governo do Estado;22;Indústria;665;Normalização e Qualidade;0390;Metrologia, Qualidade e Avaliação da Conformidade;2033;Pesquisa, Desenvolvimento e Rastreabilidade em Metrologia - PDRM; ;300000,00
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0550;Transferências de Cotas-Partes da Participação Especial pela Produção de Petróleo e Gás Natural (Lei nº 9.478, de 1997 - Art.50);Royalties;3372971717,79
RIO DE JANEIRO;0000;Governo do Estado;28;Encargos Especiais;845;Transferências;0903;Operações Especiais: Transferências Constitucionais e as Decorrentes de Legislação Específica;0999;Recursos para a Repartição da Contribuição de Intervenção no Domínio Econômico - CIDE-Combustíveis;CIDE - Combustíveis;57923026,49
RIO DE JANEIRO;0000;Governo do Estado;06;Segurança Pública;182;Defesa Civil;1029;Resposta aos Desastres e Reconstrução;22BO;Ações de Defesa Civil; ;118000000,00
RIO DE JANEIRO;0000;Governo do Estado;06;Segurança Pública;182;Defesa Civil;1029;Resposta aos Desastres e Reconstrução;4570;Restabelecimento da normalidade no cenário de desastres; ;30000000,00
RIO DE JANEIRO;0000;Governo do Estado;10;Saúde;512;Saneamento Básico Urbano;0122;Serviços Urbanos de Água e Esgoto;10GD;Implantação e Melhoria de Sistemas Públicos de Abastecimento de Água em Municípios de até 50.000 Habitantes, Exclusive de Regiões Metropolitanas ou Regiões Integradas de Desenvolvimento Econômico (RIDE); ;2109705,17
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;126;Tecnologia da Informação;1449;Estatísticas e Avaliações Educacionais;4014;Censo Escolar da Educação Básica;Censo Escolar;26070,00
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;571;Desenvolvimento Científico;1375;Desenvolvimento do Ensino da Pós-Graduação e da Pesquisa Científica;4019;Fomento à Pós-Graduação; ;1817912,00
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;847;Transferências para Educação Básica;1061;Brasil Escolarizado;00FA;Apoio à Recuperação da Rede Física Escolar Pública; ;74000000,00
RIO DE JANEIRO;0000;Governo do Estado;12;Educação;847;Transferências para Educação Básica;1061;Brasil Escolarizado;0969;Apoio ao Transporte Escolar na Educação Básica;PNATE;703861,56
RIO DE JANEIRO;0000;Governo do Estado;14;Direitos da Cidadania;422;Direitos Individuais, Coletivos e Difusos;0154;Garantia e Acesso a Direitos;8799;Apoio a Centros de Referência em Direitos Humanos; ;300000,00
RIO DE JANEIRO;0000;Governo do Estado;20;Agricultura;603;Defesa Sanitária Vegetal;0357;Segurança da Sanidade na Agropecuária;2134;Vigilância e Fiscalização do Trânsito Interestadual de Vegetais, seus Produtos e Insumos;Vigilância e Fiscalização do Trânsito Interestadual de Vegetais, seus Produtos e Insumos;541606,00
RIO DE JANEIRO;0000;Governo do Estado;27;Desporto e Lazer;812;Desporto Comunitário;8028;Vivência e Iniciação Esportiva Educacional - Segundo Tempo;4377;Funcionamento de Núcleos de Esporte Educacional;Segundo Tempo - Núcleos;5921850,00
